Anomaly_Index,Predicted_Source_Code,Predicted_Fault_Description,TopFeature_1,TopFeature_2,TopFeature_3,TopContribution_1,TopContribution_2,TopContribution_3
19,F6M,MPPT Controller Fault (Med),Vdc,ia,ib,4.613426,0.52174515,0.26817626
20,F6M,MPPT Controller Fault (Med),Vdc,ia,ic,4.6871305,0.17357278,-0.13697985
21,F1L,Inverter Fault (Low),ic,ib,ia,3.577547,0.87898475,0.7999834
22,F3M,Grid Anomaly (Med),Vdc,Vabc,ia,5.5819125,0.82605964,0.40419024
23,F4M,PV Array Mismatch (Med),Vdc,ib,Vabc,1.4668336,0.49788564,-0.30964231
24,F6M,MPPT Controller Fault (Med),Vdc,ib,Vabc,1.3960061,-0.7347678,-0.5100957
25,F4L,PV Array Mismatch (Low),Vdc,ia,Vabc,4.641659,0.6145154,0.42732894
26,F4L,PV Array Mismatch (Low),Vdc,Vpv,ia,6.1305566,-0.17786188,-0.16416164
27,F4M,PV Array Mismatch (Med),Vdc,ic,ia,6.1331015,-0.26625216,-0.12739913
28,F3L,Grid Anomaly (Low),Vdc,ic,Vpv,6.081281,1.4305077,0.55305654
29,F6L,MPPT Controller Fault (Low),Vdc,ic,Vabc,4.161247,0.5299234,0.21983954
30,F1M,Inverter Fault (Med),Vpv,Vdc,ic,8.54773,1.3804613,0.7101148
31,F4L,PV Array Mismatch (Low),Vabc,ib,Vpv,-0.65234095,0.6355867,0.62463343
32,F6M,MPPT Controller Fault (Med),Vdc,ib,ic,1.2057971,-1.1164044,-0.5408374
33,F4L,PV Array Mismatch (Low),Vdc,ic,ib,3.7156246,-1.0390623,0.23029535
34,F4L,PV Array Mismatch (Low),ib,Vpv,Vdc,0.65477115,0.6320668,0.5687757
35,F3M,Grid Anomaly (Med),Vdc,Vabc,ic,6.42291,-0.28888902,-0.2885767
36,F4M,PV Array Mismatch (Med),Vdc,ic,Vabc,4.6070933,-0.8335304,0.21591805
37,F1M,Inverter Fault (Med),Vpv,Vdc,ic,8.539414,1.404514,0.709084
38,F3M,Grid Anomaly (Med),Vdc,ia,ic,4.897443,0.284824,-0.09993042
39,F4L,PV Array Mismatch (Low),Vdc,Vpv,ia,6.033472,0.3780871,-0.12404065
40,F3L,Grid Anomaly (Low),Vdc,ib,Vabc,6.9055023,1.9291945,0.585275
41,F1L,Inverter Fault (Low),ic,ia,ib,3.5866165,1.1410801,0.67740786
42,F1L,Inverter Fault (Low),Vdc,ic,Vabc,3.071397,2.7587972,-2.6062562
43,F2L,Feedback Sensor Fault (Low),Vdc,ic,ia,3.452869,2.7441537,-1.2948394
44,F7L,Boost Converter Controller Fault (Low),Vdc,ic,ib,5.4739313,0.31979075,-0.28122473
45,F6L,MPPT Controller Fault (Low),Vdc,ic,ib,4.7587986,-0.40699336,-0.36662132
46,F3M,Grid Anomaly (Med),Vdc,Vabc,Vpv,5.5625367,0.5343219,-0.18028572
47,F1L,Inverter Fault (Low),Vdc,Vabc,ia,2.9723077,0.42079395,0.35704112
48,F7M,Boost Converter Controller Fault (Med),Vdc,Vabc,ia,3.7854707,0.5068684,0.48990527
49,F1L,Inverter Fault (Low),ic,Vdc,ia,2.6465368,-2.462469,0.75796574
50,F6L,MPPT Controller Fault (Low),Vdc,ic,ib,2.3858733,0.8351324,-0.30966637
51,F1L,Inverter Fault (Low),Vdc,ic,ib,3.3127003,2.9151814,1.024232
52,F3L,Grid Anomaly (Low),Vdc,ib,ic,6.2701745,-0.7623003,0.12418954
53,F3M,Grid Anomaly (Med),Vdc,ia,Vabc,5.9977317,-1.0784327,0.7772692
54,F6L,MPPT Controller Fault (Low),Vdc,ib,Vabc,4.63532,0.31625286,-0.31304994
55,F5M,PV Array Mismatch (Med),Vdc,Vpv,ia,-3.6376843,2.6301591,1.3367878
56,F4L,PV Array Mismatch (Low),Vdc,Vpv,Vabc,5.1146483,0.46180543,-0.25156468
57,F3M,Grid Anomaly (Med),Vdc,Vabc,ia,5.2514806,0.56697243,0.35860237
58,F6M,MPPT Controller Fault (Med),Vdc,ib,Vabc,2.8556588,-0.40441045,0.16197304
59,F3L,Grid Anomaly (Low),Vdc,ic,Vpv,5.5754986,1.708803,-1.1578667
60,F6L,MPPT Controller Fault (Low),Vdc,Vabc,ic,2.8849545,0.9390396,0.50119406
61,F5L,PV Array Mismatch (Low),ic,Vpv,Vdc,4.4124255,-3.8094835,-0.7846542
62,F7M,Boost Converter Controller Fault (Med),Vdc,Vabc,ia,2.746006,-0.38278544,-0.2369793
63,F6M,MPPT Controller Fault (Med),Vdc,ib,Vpv,4.3928933,-0.60481757,0.40626904
64,F4L,PV Array Mismatch (Low),Vdc,ic,ib,4.9714203,-0.51112056,0.32896537
65,F1L,Inverter Fault (Low),ic,Vdc,ia,1.8783715,-0.812974,0.52622956
66,F6M,MPPT Controller Fault (Med),Vdc,ia,Vabc,4.4165573,0.45376247,0.4415967
67,F2L,Feedback Sensor Fault (Low),ib,Vdc,ia,3.1763146,2.1845896,1.2895318
68,F1L,Inverter Fault (Low),ic,Vdc,ia,3.121518,-2.4341197,0.7664261
69,F6L,MPPT Controller Fault (Low),Vdc,ia,ic,2.0348136,-0.9005004,0.5866522
70,F6L,MPPT Controller Fault (Low),Vdc,Vabc,Vpv,5.8443623,-0.054684073,-0.032833073
71,F4M,PV Array Mismatch (Med),Vdc,ia,ib,5.398537,0.4689459,-0.19774456
72,F1L,Inverter Fault (Low),ic,Vdc,ia,1.8491136,-0.806161,0.5254883
73,F7M,Boost Converter Controller Fault (Med),Vdc,ib,ia,3.7972763,0.21488696,0.07817601
74,F1L,Inverter Fault (Low),Vdc,ic,ia,3.9596334,3.5071764,0.70058286
75,F7M,Boost Converter Controller Fault (Med),Vdc,ib,Vpv,4.647753,0.23033883,-0.17811964
76,F6L,MPPT Controller Fault (Low),Vdc,ic,ia,4.0037165,0.5151148,0.41452956
77,F3M,Grid Anomaly (Med),Vdc,ia,Vabc,5.5997276,0.3293893,0.25280482
78,F6M,MPPT Controller Fault (Med),Vdc,ic,ia,4.8110304,0.71474123,-0.41172877
79,F6L,MPPT Controller Fault (Low),Vdc,Vabc,ib,3.9085724,-0.59166706,-0.38651273
80,F4M,PV Array Mismatch (Med),Vdc,ic,Vpv,1.6456707,0.5481372,0.19053042
81,F4M,PV Array Mismatch (Med),Vdc,ic,ia,5.1708007,0.40513325,-0.3601995
82,F1L,Inverter Fault (Low),ic,Vdc,ia,1.8011854,-0.8056332,0.57191396
83,F6L,MPPT Controller Fault (Low),Vdc,ic,ia,3.5012379,1.1277581,0.45751533
84,F1L,Inverter Fault (Low),ic,Vdc,Vabc,3.0809114,-2.5553067,-1.8410363
85,F1L,Inverter Fault (Low),ic,Vdc,ia,2.7599633,2.4855883,1.3477634
86,F6M,MPPT Controller Fault (Med),Vdc,ia,ib,3.7497468,0.49975726,-0.32716024
87,F4M,PV Array Mismatch (Med),Vdc,ic,ia,1.6066777,0.47961178,-0.13761976
88,F6M,MPPT Controller Fault (Med),Vdc,ia,Vpv,4.0035043,-1.7127386,-0.1254368
89,F4L,PV Array Mismatch (Low),Vdc,ib,Vpv,4.9163303,0.4329043,0.28908122
90,F4L,PV Array Mismatch (Low),Vdc,ia,Vabc,4.3459477,0.40059388,-0.32788795
91,F6M,MPPT Controller Fault (Med),Vdc,Vabc,Vpv,2.5681431,0.46583182,-0.28967994
92,F6L,MPPT Controller Fault (Low),Vdc,Vabc,ib,4.3807654,-0.36507434,0.27260435
93,F3M,Grid Anomaly (Med),Vdc,ia,ib,7.26118,0.21690097,-0.15025142
94,F4M,PV Array Mismatch (Med),Vdc,Vabc,ia,4.368747,-0.23646957,-0.2026322
95,F7M,Boost Converter Controller Fault (Med),Vdc,ib,ic,3.9225118,-0.41027796,0.2696419
96,F2M,Feedback Sensor Fault (Med),Vdc,ib,ia,3.7655678,0.99973524,-0.9951716
97,F1L,Inverter Fault (Low),ic,ib,ia,3.3747287,0.6694703,0.54391944
98,F6L,MPPT Controller Fault (Low),Vdc,ic,Vabc,3.8106277,-0.60793227,-0.17838816
99,F6M,MPPT Controller Fault (Med),Vdc,ia,Vabc,4.411626,0.426973,-0.23153593
100,F6L,MPPT Controller Fault (Low),Vdc,ic,ib,4.541372,0.45377383,0.28861448
101,F2L,Feedback Sensor Fault (Low),ic,ia,ib,6.8469625,-3.9313703,0.60688335
102,F1L,Inverter Fault (Low),ic,Vdc,Vabc,2.9792259,-2.3149881,-1.1684693
103,F6L,MPPT Controller Fault (Low),Vdc,ic,ia,4.0425706,2.0500407,0.14645657
104,F1L,Inverter Fault (Low),ic,ia,Vabc,3.0022511,0.86571246,0.60606676
105,F1L,Inverter Fault (Low),ic,ia,ib,2.8469293,1.1542301,0.5315195
106,F1L,Inverter Fault (Low),Vdc,ic,Vabc,-2.4291925,2.2613547,-1.4678315
107,F6L,MPPT Controller Fault (Low),Vdc,ic,ib,5.536098,0.7768593,-0.22945544
108,F6M,MPPT Controller Fault (Med),Vdc,ib,ia,4.1629376,-0.549166,-0.20926423
109,F4M,PV Array Mismatch (Med),Vdc,ia,ic,4.166593,0.86950046,-0.33426395
110,F3L,Grid Anomaly (Low),Vdc,Vpv,Vabc,2.9106557,0.6270205,0.5334681
111,F6L,MPPT Controller Fault (Low),Vdc,ic,ia,4.149564,0.81483346,0.25222936
112,F3L,Grid Anomaly (Low),Vdc,ia,ic,5.0116553,2.5378654,-0.46226215
113,F2L,Feedback Sensor Fault (Low),ia,ic,ib,4.2900133,3.9608033,-2.5507965
114,F6L,MPPT Controller Fault (Low),Vdc,ib,Vpv,3.697249,1.245818,0.4179955
115,F3L,Grid Anomaly (Low),Vdc,ic,ia,2.6926637,1.6294855,-0.57455856
116,F2M,Feedback Sensor Fault (Med),Vdc,ib,Vpv,3.014777,2.004763,0.40290648
117,F4M,PV Array Mismatch (Med),Vdc,ia,Vpv,0.88772935,0.73360103,-0.2569387
118,F4L,PV Array Mismatch (Low),Vdc,ib,ia,4.857863,-0.52106386,-0.20462207
119,F1M,Inverter Fault (Med),Vpv,Vdc,ic,8.543338,1.3521527,0.5464194
120,F2M,Feedback Sensor Fault (Med),Vdc,ia,ic,3.2232082,0.37695214,0.3364232
121,F1L,Inverter Fault (Low),Vdc,ib,ic,3.5312202,2.9798276,-1.0096686
122,F7L,Boost Converter Controller Fault (Low),Vdc,ia,ic,2.81746,-0.6041631,0.3176297
123,F6M,MPPT Controller Fault (Med),Vdc,ia,ic,1.4358152,0.45622563,-0.38459006
124,F6L,MPPT Controller Fault (Low),Vdc,ib,Vabc,4.304003,0.8161182,-0.2518006
125,F1L,Inverter Fault (Low),ic,Vdc,ia,2.4373584,0.888401,-0.7480414
126,F3L,Grid Anomaly (Low),Vdc,Vpv,Vabc,6.591135,-0.5256502,0.50460964
127,F2M,Feedback Sensor Fault (Med),ib,Vdc,Vpv,3.5497715,3.3354075,0.6742456
128,F1M,Inverter Fault (Med),Vpv,Vdc,ic,8.418566,1.2890698,-0.5987193
129,F7M,Boost Converter Controller Fault (Med),Vdc,ia,ib,2.1885326,-0.25989336,0.1518828
130,F3M,Grid Anomaly (Med),Vdc,Vabc,ia,6.224713,0.88367176,-0.11098743
131,F4L,PV Array Mismatch (Low),Vdc,ib,Vpv,3.760004,0.3669574,0.25599158
132,F6L,MPPT Controller Fault (Low),Vdc,ib,ic,3.9032147,-0.25289562,0.198966
133,F3L,Grid Anomaly (Low),Vdc,ib,ia,6.598375,0.72068393,-0.2554745
134,F4M,PV Array Mismatch (Med),Vdc,ic,Vabc,4.0945086,0.4183792,-0.26621443
135,F4M,PV Array Mismatch (Med),ia,Vdc,ib,2.3945856,0.63910705,-0.44868588
136,F4M,PV Array Mismatch (Med),Vdc,ic,Vabc,6.032113,-0.32208085,-0.19978185
137,F4M,PV Array Mismatch (Med),Vdc,ia,ic,1.1562386,0.9906074,0.48794934
138,F6L,MPPT Controller Fault (Low),Vdc,Vabc,ic,5.915691,0.16447265,-0.11982043
139,F6L,MPPT Controller Fault (Low),Vdc,ib,ic,3.1978087,1.3328654,-0.2355493
140,F6M,MPPT Controller Fault (Med),Vdc,ic,Vabc,3.069528,0.9004811,0.3783418
141,F4L,PV Array Mismatch (Low),Vdc,Vpv,ia,5.8893,0.2683967,0.17393695
142,F4M,PV Array Mismatch (Med),Vdc,Vabc,ic,5.858491,0.3731307,0.2948056
143,F7L,Boost Converter Controller Fault (Low),Vdc,Vabc,ia,2.8256996,-0.3990501,0.26445127
144,F2L,Feedback Sensor Fault (Low),ia,ic,Vdc,-3.2276404,2.4653265,2.033597
145,F3L,Grid Anomaly (Low),Vdc,ib,Vpv,6.339736,-1.0729027,0.4791534
146,F3L,Grid Anomaly (Low),Vdc,ic,Vpv,6.1239395,1.1853714,0.7323608
147,F1L,Inverter Fault (Low),ic,Vdc,ia,1.8783715,-0.812974,0.52622956
148,F3M,Grid Anomaly (Med),Vdc,Vabc,ia,5.3217554,0.73294806,0.36001316
149,F4M,PV Array Mismatch (Med),Vdc,Vpv,ic,1.728319,0.82405084,0.6347337
150,F4M,PV Array Mismatch (Med),Vdc,ic,ib,4.527968,-1.2446551,0.22434819
151,F2M,Feedback Sensor Fault (Med),ib,ic,Vdc,7.2591796,-2.8378642,-1.5972139
152,F1L,Inverter Fault (Low),ic,Vdc,ia,1.8491198,-0.8061202,0.5253053
153,F7L,Boost Converter Controller Fault (Low),Vdc,ib,ic,1.6787039,0.59373266,0.41942346
154,F6M,MPPT Controller Fault (Med),Vdc,Vabc,ic,0.8399215,-0.57343286,-0.43082696
155,F6L,MPPT Controller Fault (Low),Vdc,ib,ic,3.9408674,0.70321834,-0.20406216
156,F4M,PV Array Mismatch (Med),Vdc,ic,ia,4.016066,0.36093843,-0.31557965
157,F7M,Boost Converter Controller Fault (Med),Vdc,ia,ic,1.6095742,0.71939856,0.46106204
158,F3M,Grid Anomaly (Med),Vdc,ib,Vabc,3.0109704,-0.9642672,0.8614506
159,F6L,MPPT Controller Fault (Low),Vdc,Vabc,ic,1.9223292,0.71969175,0.6863185
160,F3L,Grid Anomaly (Low),Vdc,ia,ic,6.707699,1.5070277,-0.5146017
161,F1L,Inverter Fault (Low),ic,Vdc,Vabc,2.5951648,-2.5541954,-2.098397
162,F4L,PV Array Mismatch (Low),Vdc,ia,Vabc,3.953731,-2.5357783,-0.23350103
163,F1L,Inverter Fault (Low),ic,ia,ib,2.7555177,1.1099336,0.70704025
164,F6L,MPPT Controller Fault (Low),Vdc,ic,ia,4.1975102,0.78458494,-0.5018534
165,F4L,PV Array Mismatch (Low),Vdc,ib,ic,5.2482166,-0.40256304,0.29402903
166,F6M,MPPT Controller Fault (Med),Vdc,ia,ic,3.8956363,0.64654756,0.15778239
167,F1L,Inverter Fault (Low),ic,Vabc,ia,2.9362664,-1.5479063,1.0428408
168,F1L,Inverter Fault (Low),ic,Vdc,ia,3.3375852,2.7502987,0.9971316
169,F1L,Inverter Fault (Low),ic,ia,Vabc,3.4794562,1.0460129,0.85139805
170,F5L,PV Array Mismatch (Low),ic,Vdc,ia,4.451106,-2.2214777,2.1461232
171,F7M,Boost Converter Controller Fault (Med),Vdc,ia,ic,2.773687,0.29978263,0.27945665
172,F7M,Boost Converter Controller Fault (Med),ia,ib,Vabc,0.49759844,0.38909188,0.32664427
173,F4M,PV Array Mismatch (Med),Vdc,ic,ib,6.0519595,0.3992956,-0.23231943
174,F6M,MPPT Controller Fault (Med),Vdc,Vabc,ic,1.4843466,-0.61832374,-0.23939055
175,F4L,PV Array Mismatch (Low),Vdc,Vabc,ia,5.590545,0.68289495,0.35913852
176,F7L,Boost Converter Controller Fault (Low),Vdc,Vabc,ic,2.8987894,0.71306866,0.29839197
177,F6L,MPPT Controller Fault (Low),Vdc,ic,ib,4.099131,0.5919843,0.09474569
178,F1L,Inverter Fault (Low),ic,Vdc,ia,1.7519227,1.0148667,0.72725075
179,F7L,Boost Converter Controller Fault (Low),Vdc,Vabc,ia,4.9086003,-0.7151106,0.15093005
180,F4L,PV Array Mismatch (Low),Vdc,Vpv,ic,3.6175632,-0.300344,0.23249178
181,F4L,PV Array Mismatch (Low),Vdc,Vpv,ib,6.090916,0.29613528,-0.259521
182,F6L,MPPT Controller Fault (Low),Vdc,ia,ic,6.22586,0.2738027,-0.2602158
183,F1L,Inverter Fault (Low),Vdc,ic,ib,3.8729646,3.2853804,0.6531254
184,F3M,Grid Anomaly (Med),Vdc,ia,Vabc,5.9852996,0.89757526,-0.43008354
185,F3M,Grid Anomaly (Med),Vdc,Vabc,ic,5.464503,0.86422855,-0.14745975
186,F4L,PV Array Mismatch (Low),Vdc,ib,Vpv,0.6477316,0.41812584,0.4128015
187,F6L,MPPT Controller Fault (Low),Vdc,ic,ib,3.047355,-1.8972057,0.25911772
188,F6M,MPPT Controller Fault (Med),Vdc,ib,Vabc,3.956928,0.2480773,-0.13353984
189,F6M,MPPT Controller Fault (Med),Vdc,ia,ib,3.8323164,-0.3657862,0.19445245
190,F1L,Inverter Fault (Low),ic,Vdc,ib,4.212985,-1.9473071,0.887519
191,F4L,PV Array Mismatch (Low),Vdc,Vpv,ib,4.134378,-0.44443583,0.42903006
192,F6M,MPPT Controller Fault (Med),Vdc,ia,ic,1.3055844,0.7084962,-0.35270512
193,F7L,Boost Converter Controller Fault (Low),Vdc,Vabc,ia,2.3627834,-1.5217278,-0.33999747
194,F6L,MPPT Controller Fault (Low),Vdc,ic,ib,4.6235714,0.5408458,0.3085822
195,F2L,Feedback Sensor Fault (Low),Vdc,ic,ib,2.8294663,2.415809,1.9658325
196,F6M,MPPT Controller Fault (Med),Vdc,ia,ib,5.3086114,-0.18237226,0.13988835
197,F1L,Inverter Fault (Low),ic,Vdc,ia,1.8071753,0.9996419,0.93158865
198,F4L,PV Array Mismatch (Low),Vdc,ib,Vpv,4.2826877,0.5263392,-0.48005453
199,F4L,PV Array Mismatch (Low),Vdc,ia,ic,4.0316305,0.55295706,0.36561078
200,F4L,PV Array Mismatch (Low),ib,Vpv,Vdc,0.65477115,0.6320668,0.5687757
201,F6L,MPPT Controller Fault (Low),Vdc,ib,Vpv,3.8766701,-0.8521516,-0.28308478
202,F4L,PV Array Mismatch (Low),Vdc,ia,Vabc,3.5822937,-0.2843544,0.2765513
203,F6L,MPPT Controller Fault (Low),Vdc,ic,Vabc,4.3623295,1.0192192,-0.48789552
204,F4L,PV Array Mismatch (Low),Vabc,ib,Vpv,-0.6521277,0.6352402,0.62455344
205,F3M,Grid Anomaly (Med),Vdc,Vabc,Vpv,5.435822,0.41919693,-0.27178502
206,F3M,Grid Anomaly (Med),Vdc,ia,ic,1.7213261,-0.6318695,0.17374888
207,F4M,PV Array Mismatch (Med),Vdc,ib,ic,0.620225,0.49238667,0.3089597
208,F6L,MPPT Controller Fault (Low),Vdc,ic,ia,4.227763,-0.7610199,-0.21539323
209,F1L,Inverter Fault (Low),ic,Vdc,ia,1.8011854,-0.8056332,0.57180357
210,F7M,Boost Converter Controller Fault (Med),Vdc,ia,Vabc,1.2837806,0.3606862,0.07209077
211,F7L,Boost Converter Controller Fault (Low),Vdc,Vabc,ic,5.3006754,-0.37234142,-0.23274577
212,F1L,Inverter Fault (Low),ic,ib,ia,1.883472,0.5370748,0.28533813
213,F1L,Inverter Fault (Low),ic,Vdc,ib,3.1667132,1.0519462,1.0335144
214,F7M,Boost Converter Controller Fault (Med),Vdc,ia,ib,2.0745952,0.8770985,0.41126052
215,F1L,Inverter Fault (Low),Vdc,ic,ib,3.25806,2.2787201,1.3533541
216,F2M,Feedback Sensor Fault (Med),Vdc,ia,ib,4.069318,1.2508558,-0.67909175
217,F4L,PV Array Mismatch (Low),Vdc,Vpv,ic,4.5579815,-0.7431857,-0.66861814
218,F4L,PV Array Mismatch (Low),Vdc,Vpv,ia,5.277064,0.53426194,0.40058753
219,F4M,PV Array Mismatch (Med),Vdc,ic,ia,1.3907316,0.36574054,0.22633848
220,F1L,Inverter Fault (Low),ia,Vabc,Vdc,0.6875035,0.65415484,0.11780979
221,F2M,Feedback Sensor Fault (Med),ib,ic,Vdc,7.000049,-3.439757,-2.1479952
222,F4L,PV Array Mismatch (Low),Vdc,ia,Vabc,4.0761094,-0.26074427,0.20197146
223,F3M,Grid Anomaly (Med),Vdc,Vabc,ic,6.2333155,0.39506513,-0.19864042
224,F3M,Grid Anomaly (Med),Vdc,ia,ic,6.8874235,-0.5177386,-0.3824789
225,F1L,Inverter Fault (Low),ic,Vabc,Vdc,1.1162689,-0.2531506,-0.13900217
226,F6M,MPPT Controller Fault (Med),Vdc,ib,ic,1.2053316,-0.73468584,-0.45767605
227,F6L,MPPT Controller Fault (Low),Vdc,ic,Vabc,1.4724505,1.1389587,-0.3348439
228,F7M,Boost Converter Controller Fault (Med),Vdc,ia,Vabc,2.9916663,0.5254527,0.31198758
229,F4L,PV Array Mismatch (Low),Vdc,ia,ic,4.351443,0.5363168,0.2398774
230,F6L,MPPT Controller Fault (Low),Vdc,ib,ic,4.1820655,0.8594826,-0.43225715
231,F4L,PV Array Mismatch (Low),Vdc,ic,ib,3.736182,-0.73781323,0.19374342
232,F6M,MPPT Controller Fault (Med),Vdc,ic,ia,1.8161259,0.5081582,-0.40060437
233,F4M,PV Array Mismatch (Med),Vdc,ic,Vpv,6.076536,0.32862502,0.19312571
234,F6M,MPPT Controller Fault (Med),Vdc,ic,ia,3.7271292,-0.34860376,-0.16546293
235,F6L,MPPT Controller Fault (Low),Vdc,ib,ia,3.1850944,0.7148406,-0.06665481
236,F6L,MPPT Controller Fault (Low),Vdc,ic,ia,4.432783,0.8103702,0.3080495
237,F6L,MPPT Controller Fault (Low),Vdc,ic,ib,3.9153128,-0.6375703,-0.12895097
238,F4L,PV Array Mismatch (Low),Vdc,Vpv,Vabc,4.5672774,-0.5833404,0.46504477
239,F4L,PV Array Mismatch (Low),Vdc,ib,Vpv,0.86163276,0.6518146,-0.5923695
240,F3L,Grid Anomaly (Low),Vdc,ia,ic,-3.1200356,2.510681,2.2617004
241,F1L,Inverter Fault (Low),Vdc,ic,ib,3.5737827,0.62552184,-0.6048472
242,F6L,MPPT Controller Fault (Low),Vdc,ic,ia,2.8590095,1.0211692,0.39931867
243,F4L,PV Array Mismatch (Low),Vdc,ib,ia,4.10794,0.32869694,-0.2737214
244,F3M,Grid Anomaly (Med),Vdc,ia,Vabc,5.9330425,-0.90018743,0.7929228
245,F7L,Boost Converter Controller Fault (Low),Vdc,ic,Vabc,2.7157593,-0.7233474,0.15658054
246,F7L,Boost Converter Controller Fault (Low),Vdc,ic,Vabc,2.534359,0.21562204,0.21544817
247,F6L,MPPT Controller Fault (Low),Vdc,ic,Vpv,3.7638245,-0.53812706,-0.49565536
248,F6M,MPPT Controller Fault (Med),Vdc,ia,ic,1.2078258,-0.46306834,-0.21142456
249,F4M,PV Array Mismatch (Med),Vdc,ib,Vabc,5.5317535,0.21747504,0.18987884
250,F6L,MPPT Controller Fault (Low),Vdc,ic,Vabc,4.035132,0.6051433,-0.22511472
251,F6M,MPPT Controller Fault (Med),Vdc,ia,ib,3.7326128,-0.35258463,0.24584292
252,F1L,Inverter Fault (Low),ic,Vdc,ia,3.729749,1.176306,0.89830095
253,F2L,Feedback Sensor Fault (Low),ia,ib,Vdc,3.983671,-2.3696165,1.8770139
254,F4L,PV Array Mismatch (Low),Vdc,Vpv,ib,4.5391893,0.48367116,-0.34699637
255,F3L,Grid Anomaly (Low),Vdc,ib,Vpv,5.963498,0.69418347,0.40984777
256,F4L,PV Array Mismatch (Low),Vdc,ib,ia,0.49625084,0.42110014,0.3984698
257,F1M,Inverter Fault (Med),Vpv,Vdc,ia,8.509256,1.3566216,0.39947534
258,F4M,PV Array Mismatch (Med),Vdc,Vabc,ia,0.90202755,-0.28772217,0.28034252
259,F4L,PV Array Mismatch (Low),Vdc,ib,Vpv,3.906798,0.51664776,0.37022507
260,F4M,PV Array Mismatch (Med),ia,Vdc,ic,1.3290052,1.1811273,0.5356499
261,F4L,PV Array Mismatch (Low),Vdc,Vpv,ia,3.9096744,0.9671107,0.49451962
262,F6L,MPPT Controller Fault (Low),Vdc,ic,ib,6.1203594,0.85643595,-0.4643599
263,F3M,Grid Anomaly (Med),Vdc,ia,Vabc,6.727991,-0.9388835,0.26836234
264,F6L,MPPT Controller Fault (Low),Vdc,ia,ic,3.7802951,-0.41725558,-0.37076515
265,F2L,Feedback Sensor Fault (Low),ib,Vdc,ia,2.66042,2.5474217,-2.184492
266,F6M,MPPT Controller Fault (Med),Vdc,Vabc,ia,3.7845173,0.29154807,-0.22389767
267,F6M,MPPT Controller Fault (Med),Vdc,ic,ib,1.2942833,-0.5707117,-0.4505563
268,F1L,Inverter Fault (Low),ic,ib,ia,3.647568,1.1584677,0.74655426
269,F4L,PV Array Mismatch (Low),Vdc,ic,Vpv,5.8386536,-0.61320853,0.28854942
270,F4L,PV Array Mismatch (Low),Vabc,ib,Vpv,-0.65234095,0.6355867,0.62463343
271,F4L,PV Array Mismatch (Low),Vdc,ib,ic,3.5795052,-0.46376923,0.2257202
272,F4L,PV Array Mismatch (Low),Vdc,Vpv,ic,5.9376297,0.36812478,0.17162462
273,F1L,Inverter Fault (Low),Vdc,ic,ia,3.900465,2.3550584,0.8075545
274,F4M,PV Array Mismatch (Med),Vdc,ic,Vpv,1.9296509,-0.30174,0.29320362
275,F1L,Inverter Fault (Low),ic,Vdc,ia,1.8492501,-0.805955,0.52535635
276,F1L,Inverter Fault (Low),Vdc,ic,ia,3.951002,3.6388237,0.83150506
277,F7M,Boost Converter Controller Fault (Med),Vdc,ic,ia,4.7127957,-0.72700083,0.27933905
278,F1L,Inverter Fault (Low),ic,ib,ia,1.2024816,1.1504657,0.86653954
